county,candidate,party,votes,state,race name
Colusa,Colleen Shea Fernald,NPP,7,CA,U.S. Senate
Colusa,Rash Bihari Ghosh,NPP,2,CA,U.S. Senate
Colusa,Tim Gildersleeve,NPP,8,CA,U.S. Senate
Colusa,Michael Fahmy Girgis,NPP,3,CA,U.S. Senate
Colusa,Don J. Grundmann,NPP,13,CA,U.S. Senate
Colusa,Jason M. Hanania,NPP,15,CA,U.S. Senate
Colusa,David Moore,NPP,9,CA,U.S. Senate
Colusa,Lee Olson,NPP,13,CA,U.S. Senate
Colusa,Ling Ling Shi,NPP,3,CA,U.S. Senate
Contra Costa,Kevin De Leon,DEM,"11,408",CA,U.S. Senate
Contra Costa,Adrienne Nicole Edwards,DEM,926,CA,U.S. Senate
Contra Costa,Dianne Feinstein,DEM,"66,024",CA,U.S. Senate
Contra Costa,Pat Harris,DEM,"1,973",CA,U.S. Senate
Contra Costa,Alison Hartson,DEM,"2,465",CA,U.S. Senate
Contra Costa,David Hildebrand,DEM,386,CA,U.S. Senate
Contra Costa,Herbert G. Peters,DEM,198,CA,U.S. Senate
Contra Costa,Douglas Howard Pierce,DEM,314,CA,U.S. Senate
Contra Costa,Gerald Plummer,DEM,206,CA,U.S. Senate
Contra Costa,Donnie O. Turner,DEM,545,CA,U.S. Senate
Contra Costa,Arun K. Bhumitra,REP,"5,049",CA,U.S. Senate
Contra Costa,James P Bradley,REP,"5,582",CA,U.S. Senate
Contra Costa,"John ""Jack"" Crew",REP,"1,802",CA,U.S. Senate
Contra Costa,Erin Cruz,REP,"6,016",CA,U.S. Senate
Contra Costa,"Roque ""Rocky"" De La Fuente",REP,"1,784",CA,U.S. Senate
Contra Costa,Jerry Joseph Laws,REP,537,CA,U.S. Senate
Contra Costa,Patrick Little,REP,666,CA,U.S. Senate
Contra Costa,Kevin Mottus,REP,"1,332",CA,U.S. Senate
Contra Costa,Mario Nabliba,REP,574,CA,U.S. Senate
Contra Costa,Tom Palzer,REP,"1,932",CA,U.S. Senate
Contra Costa,Paul A Taylor,REP,"5,544",CA,U.S. Senate
Contra Costa,Derrick Michael Reid,LIB,"1,157",CA,U.S. Senate
Contra Costa,John Thompson Parker,P&F,297,CA,U.S. Senate
Contra Costa,Colleen Shea Fernald,NPP,251,CA,U.S. Senate
Contra Costa,Rash Bihari Ghosh,NPP,166,CA,U.S. Senate
Contra Costa,Tim Gildersleeve,NPP,117,CA,U.S. Senate
Contra Costa,Michael Fahmy Girgis,NPP,44,CA,U.S. Senate
Contra Costa,Don J. Grundmann,NPP,211,CA,U.S. Senate
Contra Costa,Jason M. Hanania,NPP,352,CA,U.S. Senate
Contra Costa,David Moore,NPP,407,CA,U.S. Senate
Contra Costa,Lee Olson,NPP,343,CA,U.S. Senate
Contra Costa,Ling Ling Shi,NPP,317,CA,U.S. Senate
Del Norte,Kevin De Leon,DEM,302,CA,U.S. Senate
Del Norte,Adrienne Nicole Edwards,DEM,28,CA,U.S. Senate
Del Norte,Dianne Feinstein,DEM,"1,272",CA,U.S. Senate
Del Norte,Pat Harris,DEM,55,CA,U.S. Senate
Del Norte,Alison Hartson,DEM,118,CA,U.S. Senate
Del Norte,David Hildebrand,DEM,35,CA,U.S. Senate
