,county,candidate,party,votes,race name,state
238,Siskiyou,Jack M. Guerrero,REP,"1,981",Treasurer,CA
239,Siskiyou,Kevin Akin,P&F,207,Treasurer,CA
240,Solano,Fiona Ma,DEM,"29,213",Treasurer,CA
241,Solano,Vivek Viswanathan,DEM,"7,527",Treasurer,CA
242,Solano,Greg Conlon,REP,"12,055",Treasurer,CA
243,Solano,Jack M. Guerrero,REP,"12,132",Treasurer,CA
244,Solano,Kevin Akin,P&F,"1,194",Treasurer,CA
245,Sonoma,Fiona Ma,DEM,"37,096",Treasurer,CA
246,Sonoma,Vivek Viswanathan,DEM,"8,725",Treasurer,CA
247,Sonoma,Greg Conlon,REP,"9,343",Treasurer,CA
248,Sonoma,Jack M. Guerrero,REP,"8,753",Treasurer,CA
249,Sonoma,Kevin Akin,P&F,"1,180",Treasurer,CA
250,Stanislaus,Fiona Ma,DEM,"16,301",Treasurer,CA
251,Stanislaus,Vivek Viswanathan,DEM,"4,077",Treasurer,CA
252,Stanislaus,Greg Conlon,REP,"12,967",Treasurer,CA
253,Stanislaus,Jack M. Guerrero,REP,"10,618",Treasurer,CA
254,Stanislaus,Kevin Akin,P&F,906,Treasurer,CA
255,Sutter,Fiona Ma,DEM,"2,523",Treasurer,CA
256,Sutter,Vivek Viswanathan,DEM,"1,024",Treasurer,CA
257,Sutter,Greg Conlon,REP,"3,700",Treasurer,CA
258,Sutter,Jack M. Guerrero,REP,"2,510",Treasurer,CA
259,Sutter,Kevin Akin,P&F,260,Treasurer,CA
260,Tehama,Fiona Ma,DEM,"2,121",Treasurer,CA
261,Tehama,Vivek Viswanathan,DEM,499,Treasurer,CA
262,Tehama,Greg Conlon,REP,"4,043",Treasurer,CA
263,Tehama,Jack M. Guerrero,REP,"2,381",Treasurer,CA
264,Tehama,Kevin Akin,P&F,222,Treasurer,CA
265,Trinity,Fiona Ma,DEM,"1,075",Treasurer,CA
266,Trinity,Vivek Viswanathan,DEM,259,Treasurer,CA
267,Trinity,Greg Conlon,REP,786,Treasurer,CA
268,Trinity,Jack M. Guerrero,REP,864,Treasurer,CA
269,Trinity,Kevin Akin,P&F,81,Treasurer,CA
270,Tulare,Fiona Ma,DEM,"6,622",Treasurer,CA
271,Tulare,Vivek Viswanathan,DEM,"3,307",Treasurer,CA
272,Tulare,Greg Conlon,REP,"11,163",Treasurer,CA
273,Tulare,Jack M. Guerrero,REP,"7,027",Treasurer,CA
274,Tulare,Kevin Akin,P&F,556,Treasurer,CA
275,Tuolumne,Fiona Ma,DEM,"3,517",Treasurer,CA
276,Tuolumne,Vivek Viswanathan,DEM,720,Treasurer,CA
277,Tuolumne,Greg Conlon,REP,"2,650",Treasurer,CA
278,Tuolumne,Jack M. Guerrero,REP,"2,862",Treasurer,CA
279,Tuolumne,Kevin Akin,P&F,186,Treasurer,CA
280,Ventura,Fiona Ma,DEM,"40,997",Treasurer,CA
281,Ventura,Vivek Viswanathan,DEM,"9,998",Treasurer,CA
282,Ventura,Greg Conlon,REP,"28,917",Treasurer,CA
283,Ventura,Jack M. Guerrero,REP,"20,792",Treasurer,CA
284,Ventura,Kevin Akin,P&F,"1,714",Treasurer,CA
285,Yolo,Fiona Ma,DEM,"14,188",Treasurer,CA
286,Yolo,Vivek Viswanathan,DEM,"2,850",Treasurer,CA
287,Yolo,Greg Conlon,REP,"4,573",Treasurer,CA
288,Yolo,Jack M. Guerrero,REP,"3,647",Treasurer,CA
289,Yolo,Kevin Akin,P&F,529,Treasurer,CA
290,Yuba,Fiona Ma,DEM,"1,746",Treasurer,CA
291,Yuba,Vivek Viswanathan,DEM,341,Treasurer,CA
292,Yuba,Greg Conlon,REP,"2,439",Treasurer,CA
293,Yuba,Jack M. Guerrero,REP,"1,538",Treasurer,CA
294,Yuba,Kevin Akin,P&F,189,Treasurer,CA
