counties,race name,candidate,party,votes
San Juan,School Board District #4,LUCILLE CODY,,270
San Juan,School Board District #4,BILLY TODACHENNIE,,223
San Juan,School Board District #4,ELSIE DEE,,170
San Juan,Bluff City Council 1.5 yrs,JIM SAYERS,,118
San Juan,Bluff City Council 1.5 yrs,BRANT MURRAY,,88
San Juan,Bluff City Council 1.5 yrs,AMER TUMEH,,59
San Juan,Bluff City Council 3.5 yrs,LUANNE HOOK,,105
San Juan,Bluff City Council 3.5 yrs,LINDA SOSA,,99
San Juan,Bluff City Council 3.5 yrs,JENNIFER DAVILA,,65
San Juan,Bluff City Mayor,MARCIA HADENFELDT,,69
Sanpete,Republican for County Commission Seat A,EDWIN B. SUNDERLAND,REPUBLICAN,2205
Sanpete,Republican for County Commission Seat A,JUSTIN B. ATKINSON,REPUBLICAN,1789
Sevier,Republican for County Commissioner A,SCOTT T. JOHNSON,REPUBLICAN,2442
Sevier,Republican for County Commissioner A,CONRAD MILLER,REPUBLICAN,1265
Sevier,Republican for County Clerk/Auditor,STEVEN C. WALL,REPUBLICAN,2219
Sevier,Republican for County Clerk/Auditor,ANNICKA ALBRECHT,REPUBLICAN,1560
Tooele,Republican for Tooele County Commissioner Seat A,TOM TRIPP,REPUBLICAN,3171
Tooele,Republican for Tooele County Commissioner Seat A,MITCH HALL,REPUBLICAN,2568
Tooele,Republican for Tooele County Commissioner Seat B,KENDALL THOMAS,REPUBLICAN,3260
Tooele,Republican for Tooele County Commissioner Seat B,BRENDA FADDIS,REPUBLICAN,2525
Tooele,Republican for Tooele County Auditor,ALISON H. MCCOY,REPUBLICAN,3580
Tooele,Republican for Tooele County Auditor,TRACEY MARZ,REPUBLICAN,2088
Tooele,Republican for Tooele County Sheriff,PAUL J. WIMMER,REPUBLICAN,3954
Tooele,Republican for Tooele County Sheriff,M. DEAN ADAMS,REPUBLICAN,1912
Uintah,Republican for Attorney,GREG LAMB,REPUBLICAN,4712
Uintah,Republican for Attorney,G. MARK THOMAS,REPUBLICAN,1617
Uintah,Republican for Commissioner A,BART HASLEM,REPUBLICAN,3778
Uintah,Republican for Commissioner A,JONI CRANE,REPUBLICAN,2584
Uintah,Republican for Commissioner A,DAN A. DILSAVER,REPUBLICAN,0
Uintah,Republican for Commissioner B,BILL STRINGER,REPUBLICAN,2331
Uintah,Republican for Commissioner B,TROY SLAUGH,REPUBLICAN,2113
